player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Concussion
Jaromír Jágr (RW),Pittsburgh Penguins,81,52,69,121,1.49,42,19,https://www.eliteprospects.com/player/8627/jaromir-jagr,2000-01,nhl,Jaromír Jágr ,RW,FW,0,0
Joe Sakic (C),Colorado Avalanche,82,54,64,118,1.44,30,45,https://www.eliteprospects.com/player/8862/joe-sakic,2000-01,nhl,Joe Sakic ,C,FW,0,0
Patrik Elias (LW),New Jersey Devils,82,40,56,96,1.17,51,45,https://www.eliteprospects.com/player/8698/patrik-elias,2000-01,nhl,Patrik Elias ,LW,FW,0,0
Alexei Kovalev (RW),Pittsburgh Penguins,79,44,51,95,1.20,96,12,https://www.eliteprospects.com/player/8670/alexei-kovalev,2000-01,nhl,Alexei Kovalev ,RW,FW,0,0
Jason Allison (C),Boston Bruins,82,36,59,95,1.16,85,-8,https://www.eliteprospects.com/player/9064/jason-allison,2000-01,nhl,Jason Allison ,C,FW,0,0
Martin Straka (C),Pittsburgh Penguins,82,27,68,95,1.16,38,19,https://www.eliteprospects.com/player/8689/martin-straka,2000-01,nhl,Martin Straka ,C,FW,0,0
Pavel Bure (RW),Florida Panthers,82,59,33,92,1.12,58,-2,https://www.eliteprospects.com/player/16140/pavel-bure,2000-01,nhl,Pavel Bure ,RW,FW,0,0
Doug Weight (C),Edmonton Oilers,82,25,65,90,1.10,91,12,https://www.eliteprospects.com/player/8733/doug-weight,2000-01,nhl,Doug Weight ,C,FW,0,0
Zigmund Pálffy (RW),Los Angeles Kings,73,38,51,89,1.22,20,22,https://www.eliteprospects.com/player/12627/zigmund-palffy,2000-01,nhl,Zigmund Pálffy ,RW,FW,0,0
Peter Forsberg (C),Colorado Avalanche,73,27,62,89,1.22,54,23,https://www.eliteprospects.com/player/710/peter-forsberg,2000-01,nhl,Peter Forsberg ,C,FW,0,0
Alexei Yashin (C),Ottawa Senators,82,40,48,88,1.07,30,10,https://www.eliteprospects.com/player/8695/alexei-yashin,2000-01,nhl,Alexei Yashin ,C,FW,0,0
Luc Robitaille (LW),Los Angeles Kings,82,37,51,88,1.07,66,10,https://www.eliteprospects.com/player/21334/luc-robitaille,2000-01,nhl,Luc Robitaille ,LW,FW,0,0
Bill Guerin (RW),totals,85,40,45,85,1.00,140,7,https://www.eliteprospects.com/player/9053/bill-guerin,2000-01,nhl,Bill Guerin ,RW,FW,0,0
Mike Modano (C),Dallas Stars,81,33,51,84,1.04,52,26,https://www.eliteprospects.com/player/8965/mike-modano,2000-01,nhl,Mike Modano ,C,FW,0,0
Alexander Mogilny (RW),New Jersey Devils,75,43,40,83,1.11,43,10,https://www.eliteprospects.com/player/21327/alexander-mogilny,2000-01,nhl,Alexander Mogilny ,RW,FW,0,0
Pierre Turgeon (C),St. Louis Blues,79,30,52,82,1.04,37,14,https://www.eliteprospects.com/player/8860/pierre-turgeon,2000-01,nhl,Pierre Turgeon ,C,FW,0,0
Adam Oates (C),Washington Capitals,81,13,69,82,1.01,28,9,https://www.eliteprospects.com/player/21367/adam-oates,2000-01,nhl,Adam Oates ,C,FW,0,0
Peter Bondra (RW),Washington Capitals,82,45,36,81,0.99,60,8,https://www.eliteprospects.com/player/8553/peter-bondra,2000-01,nhl,Peter Bondra ,RW,FW,0,0
Petr Sýkora (RW),New Jersey Devils,73,35,46,81,1.11,32,36,https://www.eliteprospects.com/player/8692/petr-sykora,2000-01,nhl,Petr Sýkora ,RW,FW,0,0
Robert Lang (C),Pittsburgh Penguins,82,32,48,80,0.98,28,20,https://www.eliteprospects.com/player/8617/robert-lang,2000-01,nhl,Robert Lang ,C,FW,0,0
Milan Hejduk (RW),Colorado Avalanche,80,41,38,79,0.99,36,32,https://www.eliteprospects.com/player/8603/milan-hejduk,2000-01,nhl,Milan Hejduk ,RW,FW,0,0
Brett Hull (RW),Dallas Stars,79,39,40,79,1.00,18,10,https://www.eliteprospects.com/player/21341/brett-hull,2000-01,nhl,Brett Hull ,RW,FW,0,0
Keith Tkachuk (LW),totals,76,35,44,79,1.04,122,3,https://www.eliteprospects.com/player/8856/keith-tkachuk,2000-01,nhl,Keith Tkachuk ,LW,FW,0,0
Donald Audette (RW),totals,76,34,45,79,1.04,76,-2,https://www.eliteprospects.com/player/52329/donald-audette,2000-01,nhl,Donald Audette ,RW,FW,0,0
Brian Leetch (D),New York Rangers,82,21,58,79,0.96,34,-18,https://www.eliteprospects.com/player/8994/brian-leetch,2000-01,nhl,Brian Leetch ,D,DEF,0,0
Petr Nedved (C),New York Rangers,79,32,46,78,0.99,54,10,https://www.eliteprospects.com/player/8684/petr-nedved,2000-01,nhl,Petr Nedved ,C,FW,0,0
Mark Recchi (RW),Philadelphia Flyers,69,27,50,77,1.12,33,15,https://www.eliteprospects.com/player/8869/mark-recchi,2000-01,nhl,Mark Recchi ,RW,FW,0,0
Alex Tanguay (LW),Colorado Avalanche,82,27,50,77,0.94,37,35,https://www.eliteprospects.com/player/8779/alex-tanguay,2000-01,nhl,Alex Tanguay ,LW,FW,0,0
Mario Lemieux (C),Pittsburgh Penguins,43,35,41,76,1.77,18,15,https://www.eliteprospects.com/player/9679/mario-lemieux,2000-01,nhl,Mario Lemieux ,C,FW,0,0
Brendan Shanahan (LW),Detroit Red Wings,81,31,45,76,0.94,81,9,https://www.eliteprospects.com/player/8693/brendan-shanahan,2000-01,nhl,Brendan Shanahan ,LW,FW,0,0
Jeremy Roenick (C),Phoenix Coyotes,80,30,46,76,0.95,114,-1,https://www.eliteprospects.com/player/8929/jeremy-roenick,2000-01,nhl,Jeremy Roenick ,C,FW,0,0
Ray Ferraro (C),Atlanta Thrashers,81,29,47,76,0.94,91,-11,https://www.eliteprospects.com/player/13938/ray-ferraro,2000-01,nhl,Ray Ferraro ,C,FW,0,0
Markus Näslund (LW),Vancouver Canucks,72,41,34,75,1.04,58,-2,https://www.eliteprospects.com/player/697/markus-naslund,2000-01,nhl,Markus Näslund ,LW,FW,0,0
Steve Sullivan (LW),Chicago Blackhawks,81,34,41,75,0.93,54,3,https://www.eliteprospects.com/player/8896/steve-sullivan,2000-01,nhl,Steve Sullivan ,LW,FW,0,0
Marián Hossa (RW),Ottawa Senators,81,32,43,75,0.93,44,19,https://www.eliteprospects.com/player/4720/marian-hossa,2000-01,nhl,Marián Hossa ,RW,FW,0,0
Sergei Samsonov (LW),Boston Bruins,82,29,46,75,0.91,18,6,https://www.eliteprospects.com/player/8667/sergei-samsonov,2000-01,nhl,Sergei Samsonov ,LW,FW,0,0
Theo Fleury (RW),New York Rangers,62,30,44,74,1.19,122,0,https://www.eliteprospects.com/player/21306/theo-fleury,2000-01,nhl,Theo Fleury ,RW,FW,0,0
Mats Sundin (C),Toronto Maple Leafs,82,28,46,74,0.90,76,15,https://www.eliteprospects.com/player/467/mats-sundin,2000-01,nhl,Mats Sundin ,C,FW,0,0
Scott Young (RW),St. Louis Blues,81,40,33,73,0.90,30,30,https://www.eliteprospects.com/player/8797/scott-young,2000-01,nhl,Scott Young ,RW,FW,0,0
Keith Primeau (C),Philadelphia Flyers,71,34,39,73,1.03,76,17,https://www.eliteprospects.com/player/8863/keith-primeau,2000-01,nhl,Keith Primeau ,C,FW,0,0
Teemu Selänne (RW),totals,73,33,39,72,0.99,36,-7,https://www.eliteprospects.com/player/2683/teemu-selanne,2000-01,nhl,Teemu Selänne ,RW,FW,0,0
Shawn McEachern (LW),Ottawa Senators,82,32,40,72,0.88,62,10,https://www.eliteprospects.com/player/5675/shawn-mceachern,2000-01,nhl,Shawn McEachern ,LW,FW,0,0
Joe Thornton (C),Boston Bruins,72,37,34,71,0.99,107,-4,https://www.eliteprospects.com/player/3670/joe-thornton,2000-01,nhl,Joe Thornton ,C,FW,0,0
Jarome Iginla (RW),Calgary Flames,77,31,40,71,0.92,62,-2,https://www.eliteprospects.com/player/9036/jarome-iginla,2000-01,nhl,Jarome Iginla ,RW,FW,0,0
Nicklas Lidström (D),Detroit Red Wings,82,15,56,71,0.87,18,9,https://www.eliteprospects.com/player/722/nicklas-lidstrom,2000-01,nhl,Nicklas Lidström ,D,DEF,0,0
Ryan Smyth (LW),Edmonton Oilers,82,31,39,70,0.85,58,10,https://www.eliteprospects.com/player/8888/ryan-smyth,2000-01,nhl,Ryan Smyth ,LW,FW,0,0
Daniel Alfredsson (RW),Ottawa Senators,68,24,46,70,1.03,30,11,https://www.eliteprospects.com/player/702/daniel-alfredsson,2000-01,nhl,Daniel Alfredsson ,RW,FW,0,0
Sergei Fedorov (C),Detroit Red Wings,75,32,37,69,0.92,40,12,https://www.eliteprospects.com/player/8619/sergei-fedorov,2000-01,nhl,Sergei Fedorov ,C,FW,0,0
Jeff O'Neill (RW),Carolina Hurricanes,82,41,26,67,0.82,106,-18,https://www.eliteprospects.com/player/8938/jeff-o-neill,2000-01,nhl,Jeff O'Neill ,RW,FW,0,0
Paul Kariya (LW),Mighty Ducks of Anaheim,66,33,34,67,1.02,20,-9,https://www.eliteprospects.com/player/9002/paul-kariya,2000-01,nhl,Paul Kariya ,LW,FW,0,0
Radek Dvorak (RW),New York Rangers,82,31,36,67,0.82,20,9,https://www.eliteprospects.com/player/8599/radek-dvorak,2000-01,nhl,Radek Dvorak ,RW,FW,0,0
Mark Messier (C),New York Rangers,82,24,43,67,0.82,89,-25,https://www.eliteprospects.com/player/21309/mark-messier,2000-01,nhl,Mark Messier ,C,FW,0,0
Chris Drury (C),Colorado Avalanche,71,24,41,65,0.92,47,6,https://www.eliteprospects.com/player/8804/chris-drury,2000-01,nhl,Chris Drury ,C,FW,0,0
Marc Savard (C),Calgary Flames,77,23,42,65,0.84,46,-12,https://www.eliteprospects.com/player/8574/marc-savard,2000-01,nhl,Marc Savard ,C,FW,0,0
Ron Francis (C),Carolina Hurricanes,82,15,50,65,0.79,32,-15,https://www.eliteprospects.com/player/21347/ron-francis,2000-01,nhl,Ron Francis ,C,FW,0,0
Tony Amonte (RW),Chicago Blackhawks,82,35,29,64,0.78,54,-22,https://www.eliteprospects.com/player/9065/tony-amonte,2000-01,nhl,Tony Amonte ,RW,FW,0,0
Jan Hlavac (LW/RW),New York Rangers,79,28,36,64,0.81,20,3,https://www.eliteprospects.com/player/8709/jan-hlavac,2000-01,nhl,Jan Hlavac ,LW/RW,FW,0,0
Michael Nylander (C),Chicago Blackhawks,82,25,39,64,0.78,32,7,https://www.eliteprospects.com/player/693/michael-nylander,2000-01,nhl,Michael Nylander ,C,FW,0,0
Shane Doan (RW),Phoenix Coyotes,76,26,37,63,0.83,89,0,https://www.eliteprospects.com/player/9137/shane-doan,2000-01,nhl,Shane Doan ,RW,FW,0,0
Scott Gomez (C),New Jersey Devils,76,14,49,63,0.83,46,-1,https://www.eliteprospects.com/player/9050/scott-gomez,2000-01,nhl,Scott Gomez ,C,FW,0,0
Mariusz Czerkawski (RW),New York Islanders,82,30,32,62,0.76,48,-24,https://www.eliteprospects.com/player/1467/mariusz-czerkawski,2000-01,nhl,Mariusz Czerkawski ,RW,FW,0,0
Miroslav Satan (RW),Buffalo Sabres,82,29,33,62,0.76,36,5,https://www.eliteprospects.com/player/666/miroslav-satan,2000-01,nhl,Miroslav Satan ,RW,FW,0,0
Brad Richards (C),Tampa Bay Lightning,82,21,41,62,0.76,14,-10,https://www.eliteprospects.com/player/4723/brad-richards,2000-01,nhl,Brad Richards ,C,FW,0,0
Cliff Ronning (C),Nashville Predators,80,19,43,62,0.78,28,4,https://www.eliteprospects.com/player/31529/cliff-ronning,2000-01,nhl,Cliff Ronning ,C,FW,0,0
Simon Gagné (LW),Philadelphia Flyers,69,27,32,59,0.86,18,24,https://www.eliteprospects.com/player/8828/simon-gagne,2000-01,nhl,Simon Gagné ,LW,FW,0,0
