player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Joe Thornton (C),totals,81,29,96,125,1.54,61,31,https://www.eliteprospects.com/player/3670/joe-thornton,2005-06,nhl,Joe Thornton,C,FW,0,0.0,0
Jaromír Jágr (RW),New York Rangers,82,54,69,123,1.50,72,34,https://www.eliteprospects.com/player/8627/jaromir-jagr,2005-06,nhl,Jaromír Jágr,RW,FW,0,0.0,0
Alexander Ovechkin (LW),Washington Capitals,81,52,54,106,1.31,52,2,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2005-06,nhl,Alexander Ovechkin,LW,FW,0,0.0,0
Dany Heatley (LW/RW),Ottawa Senators,82,50,53,103,1.26,86,29,https://www.eliteprospects.com/player/3664/dany-heatley,2005-06,nhl,Dany Heatley,LW/RW,FW,0,0.0,0
Daniel Alfredsson (RW),Ottawa Senators,77,43,60,103,1.34,50,29,https://www.eliteprospects.com/player/702/daniel-alfredsson,2005-06,nhl,Daniel Alfredsson,RW,FW,0,0.0,0
Sidney Crosby (C),Pittsburgh Penguins,81,39,63,102,1.26,110,-1,https://www.eliteprospects.com/player/6146/sidney-crosby,2005-06,nhl,Sidney Crosby,C,FW,0,0.0,0
Eric Staal (C),Carolina Hurricanes,82,45,55,100,1.22,81,-8,https://www.eliteprospects.com/player/3656/eric-staal,2005-06,nhl,Eric Staal,C,FW,0,0.0,0
Ilya Kovalchuk (LW/RW),Atlanta Thrashers,78,52,46,98,1.26,68,-6,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2005-06,nhl,Ilya Kovalchuk,LW/RW,FW,0,0.0,0
Marc Savard (C),Atlanta Thrashers,82,28,69,97,1.18,100,7,https://www.eliteprospects.com/player/8574/marc-savard,2005-06,nhl,Marc Savard,C,FW,0,0.0,0
Jonathan Cheechoo (RW),San Jose Sharks,82,56,37,93,1.13,58,23,https://www.eliteprospects.com/player/5529/jonathan-cheechoo,2005-06,nhl,Jonathan Cheechoo,RW,FW,0,0.0,0
Marián Hossa (RW),Atlanta Thrashers,80,39,53,92,1.15,67,17,https://www.eliteprospects.com/player/4720/marian-hossa,2005-06,nhl,Marián Hossa,RW,FW,0,0.0,0
Brad Richards (C),Tampa Bay Lightning,82,23,68,91,1.11,32,0,https://www.eliteprospects.com/player/4723/brad-richards,2005-06,nhl,Brad Richards,C,FW,0,0.0,0
Teemu Selänne (RW),Mighty Ducks of Anaheim,80,40,50,90,1.13,44,28,https://www.eliteprospects.com/player/2683/teemu-selanne,2005-06,nhl,Teemu Selänne,RW,FW,0,0.0,0
Jason Spezza (C),Ottawa Senators,68,19,71,90,1.32,33,23,https://www.eliteprospects.com/player/3661/jason-spezza,2005-06,nhl,Jason Spezza,C,FW,0,0.0,0
Brian Gionta (RW),New Jersey Devils,82,48,41,89,1.09,46,18,https://www.eliteprospects.com/player/9048/brian-gionta,2005-06,nhl,Brian Gionta,RW,FW,0,0.0,0
Olli Jokinen (C),Florida Panthers,82,38,51,89,1.09,88,14,https://www.eliteprospects.com/player/2679/olli-jokinen,2005-06,nhl,Olli Jokinen,C,FW,0,0.0,0
Joe Sakic (C),Colorado Avalanche,82,32,55,87,1.06,60,10,https://www.eliteprospects.com/player/8862/joe-sakic,2005-06,nhl,Joe Sakic,C,FW,0,0.0,0
Pavel Datsyuk (C),Detroit Red Wings,75,28,59,87,1.16,22,26,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2005-06,nhl,Pavel Datsyuk,C,FW,0,0.0,0
Patrick Marleau (LW),San Jose Sharks,82,34,52,86,1.05,26,-12,https://www.eliteprospects.com/player/3671/patrick-marleau,2005-06,nhl,Patrick Marleau,LW,FW,0,0.0,0
Henrik Zetterberg (C),Detroit Red Wings,77,39,46,85,1.10,30,29,https://www.eliteprospects.com/player/285/henrik-zetterberg,2005-06,nhl,Henrik Zetterberg,C,FW,0,0.0,0
