player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Henrik Sedin (C),Vancouver Canucks,82,29,83,112,1.37,48,35,https://www.eliteprospects.com/player/738/henrik-sedin,2009-10,nhl,Henrik Sedin,C,FW,0,0.0,0
Sidney Crosby (C),Pittsburgh Penguins,81,51,58,109,1.35,71,15,https://www.eliteprospects.com/player/6146/sidney-crosby,2009-10,nhl,Sidney Crosby,C,FW,Sidney Crosby,41.0,1
Alexander Ovechkin (LW),Washington Capitals,72,50,59,109,1.51,89,45,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2009-10,nhl,Alexander Ovechkin,LW,FW,0,0.0,0
Nicklas Bäckström (C),Washington Capitals,82,33,68,101,1.23,50,37,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2009-10,nhl,Nicklas Bäckström,C,FW,0,0.0,0
Steven Stamkos (C/W),Tampa Bay Lightning,82,51,44,95,1.16,38,-2,https://www.eliteprospects.com/player/11113/steven-stamkos,2009-10,nhl,Steven Stamkos,C/W,FW,0,0.0,0
Martin St-Louis (RW),Tampa Bay Lightning,82,29,65,94,1.15,12,-8,https://www.eliteprospects.com/player/8772/martin-st-louis,2009-10,nhl,Martin St-Louis,RW,FW,0,0.0,0
Brad Richards (C),Dallas Stars,80,24,67,91,1.14,14,-12,https://www.eliteprospects.com/player/4723/brad-richards,2009-10,nhl,Brad Richards,C,FW,0,0.0,0
Joe Thornton (C),San Jose Sharks,79,20,69,89,1.13,54,17,https://www.eliteprospects.com/player/3670/joe-thornton,2009-10,nhl,Joe Thornton,C,FW,0,0.0,0
Patrick Kane (RW),Chicago Blackhawks,82,30,58,88,1.07,20,16,https://www.eliteprospects.com/player/9326/patrick-kane,2009-10,nhl,Patrick Kane,RW,FW,0,0.0,0
Marián Gáborík (RW/LW),New York Rangers,76,42,44,86,1.13,37,15,https://www.eliteprospects.com/player/3665/marian-gaborik,2009-10,nhl,Marián Gáborík,RW/LW,FW,0,0.0,0
Ilya Kovalchuk (LW/RW),totals,76,41,44,85,1.12,53,10,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2009-10,nhl,Ilya Kovalchuk,LW/RW,FW,0,0.0,0
Daniel Sedin (LW),Vancouver Canucks,63,29,56,85,1.35,28,36,https://www.eliteprospects.com/player/737/daniel-sedin,2009-10,nhl,Daniel Sedin,LW,FW,0,0.0,0
Alexander Syomin (RW/LW),Washington Capitals,73,40,44,84,1.15,66,36,https://www.eliteprospects.com/player/8633/alexander-syomin,2009-10,nhl,Alexander Syomin,RW/LW,FW,0,0.0,0
Patrick Marleau (LW),San Jose Sharks,82,44,39,83,1.01,22,21,https://www.eliteprospects.com/player/3671/patrick-marleau,2009-10,nhl,Patrick Marleau,LW,FW,0,0.0,0
